"","st","district","avg","dem_votes_major_percent","rep_votes_major_percent","winner_party","rep_status","dem_status","party","pred","poll","year"
"210","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",40.1,2018
"211","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",48,2018
"212","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",47,2018
"213","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",52,2018
"214","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",45,2018
"215","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",46,2018
"216","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",43,2018
"217","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",49,2018
"218","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",46,2018
"219","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",44,2018
"220","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",45,2018
"221","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",46,2018
"222","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",43,2018
"223","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","DEM","R",46,2018
"224","CA",45,3.66666666666667,52.05,47.95,"D","Incumbent","Challenger","REP","R",44,2018
"225","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",22.8,2018
"226","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",65.4,2018
"227","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",42,2018
"228","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",42,2018
"229","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",46.45,2018
"230","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",44.72,2018
"231","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",45.12,2018
"232","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",41.32,2018
"233","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",41.6,2018
"234","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",50.7,2018
"235","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",48,2018
"236","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",50,2018
"237","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",50,2018
"238","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",48,2018
"239","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",46,2018
"240","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",52,2018
"241","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",41.4,2018
"242","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",49.2,2018
"243","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",48,2018
"244","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",48,2018
"245","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",45,2018
"246","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",45,2018
"247","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",46.1,2018
"248","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",39.4,2018
"249","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",46,2018
"250","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",43,2018
"251","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",47,2018
"252","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",44.5,2018
"253","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",48,2018
"254","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",44,2018
"255","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","DEM","D",44,2018
"256","CA",48,3.5,53.55,46.45,"D","Incumbent","Challenger","REP","D",48,2018
